gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1500353762	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://conabio.inaturalist.org/observations/6095898	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	MX		28eb1a3f-1c15-4a95-931a-4af90ecb574d	18.341575	-102.820761	35.0						2017-05-04T15:20Z	4	5	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	6095898			CC_BY_NC_4_0	Jonathan Ortiz Torres	Jonathan Ortiz Torres			2017-05-06T13:20Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1500352874	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://conabio.inaturalist.org/observations/6092141	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	MX		28eb1a3f-1c15-4a95-931a-4af90ecb574d	18.341358	-102.821034	111.0						2017-05-04T15:20Z	4	5	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	6092141			CC_BY_NC_4_0	Ing. J. Modesto Resendiz Cabrera	Ing. J. Modesto Resendiz Cabrera			2017-05-06T13:20Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1500335749	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6023430	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.32229	-118.31083							2017-04-09T03:10Z	9	4	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	6023430			CC_BY_NC_4_0	Shannon DeVaney	Shannon DeVaney			2017-05-06T13:18Z		GEODETIC_DATUM_ASSUMED_WGS84
1500335502	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6022917	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.32124	-118.31609							2017-04-17T05:47Z	17	4	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	6022917			CC_BY_NC_4_0	Shannon DeVaney	Shannon DeVaney			2017-05-06T13:18Z		GEODETIC_DATUM_ASSUMED_WGS84
1500329151	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6003514	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	CA		28eb1a3f-1c15-4a95-931a-4af90ecb574d	49.043729	-121.401758	88.0						2017-04-23T23:22Z	23	4	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	6003514			CC_BY_NC_4_0	C. L. Van Eysinga	C. L. Van Eysinga			2017-05-06T13:18Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1500322263	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5982463	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.08262	-122.713749	355.0						2017-04-17T02:00Z	17	4	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5982463			CC_BY_NC_4_0	johncomstock	johncomstock			2017-05-06T13:17Z		GEODETIC_DATUM_ASSUMED_WGS84
1500319427	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5973503	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.90937	-110.560613	15.0						2016-10-31T00:50Z	30	10	2016	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5973503			CC_BY_NC_4_0	mmccabe	mmccabe			2017-05-06T13:17Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1500319421	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5973467	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.898525	-110.445879	55.0						2016-11-16T09:35Z	16	11	2016	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5973467			CC_BY_NC_4_0	mmccabe	mmccabe			2017-05-06T13:17Z		GEODETIC_DATUM_ASSUMED_WGS84
1500319361	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5973491	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.910181	-110.559926	31.0						2016-10-05T23:25Z	5	10	2016	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5973491			CC_BY_NC_4_0	mmccabe	mmccabe			2017-05-06T13:17Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1500319254	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5973121	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.896401	-109.480627	4.0						2016-12-04T18:40Z	4	12	2016	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5973121			CC_BY_NC_4_0	mmccabe	mmccabe			2017-05-06T13:17Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
